count,type,codename,friendlyname,review
1,error,FE_BadElementSelection,bad element selection,
1,error,FE_BadFamilyName,bad family name,
1,error,FE_BadInkName,bad ink name,
1,error,FE_BadMenuBar,bad menu bar,
1,error,FE_BadNotificationNum,bad notification number,
1,error,FE_BadOperati,bad operati,
1,error,FE_BadPageDelete,bad page delete,
1,error,FE_BadRefElementId,bad reference element id,
1,error,FE_BadRefFlowId,bad reference flow id,
1,error,FE_BadSaveFileName,bad save file name,
1,error,FE_BadShortcut,bad shortcut,
1,error,FE_BadTemplatePath,bad template path,
1,error,FE_BadXRefSrcDocId,bad x reference source document id,
1,error,FE_BadXmlApplication,bad xml application,
1,error,FE_Badparameter,badparameter,
1,error,FE_BookComponentAlreadyHasTrackedEdits,book component already has tracked edits,
1,error,FE_BookStructured,book structured,
1,error,FE_Busy,busy,
1,error,FE_CMSFailedCancelCheckout,content management system failed cancel checkout,
1,error,FE_CMSFailedCheckin,content management system failed checkin,
1,error,FE_CMSFailedCheckout,content management system failed checkout,
1,error,FE_CMSFailedDelete,content management system failed delete,
1,error,FE_CMSFailedDownloadObject,content management system failed download object,
1,error,FE_CMSFailedLogin,content management system failed login,
1,error,FE_CMSFailedOpenFile,content management system failed open file,
1,error,FE_CMSFailedUploadObject,content management system failed upload object,
1,error,FE_CMSIsValidCMSCommand,content management system is valid content management system command,
1,error,FE_CMSNameAlreadyRegistered,content management system name already registered,
1,error,FE_CMSSessionCreationFailed,content management system session creation failed,
1,error,FE_CMSSessionFailed,content management system session failed,
1,error,FE_CannotAddEditExpressionsInOneOrMoreComponents,cannot add edit expressions in one or more components,
1,error,FE_CantUpdateMacEdition,cant update mac edition,
1,error,FE_DocAlreadyHasTrackedEdits,document already has tracked edits,
1,error,FE_EmptyTextObject,empty text object,
1,error,FE_ExpressionNotFound,expression not found,
1,error,FE_FDKUndoNotAllowed,fdk undo not allowed,
1,error,FE_FailedExportedFileInvalid,failed exported file invalid,
1,error,FE_FailedToApplyOnOneOrMoreComponents,failed to apply on one or more components,
1,error,FE_FileClosedByClient,file closed by client,
1,error,FE_FileClosedByClients,file closed by clients,
1,error,FE_FlowStructured,flow structured,
1,error,FE_InvAttributeDef,invalid attribute definition,
1,error,FE_InvContextSpec,invalid context specification,
1,error,FE_InvalidAttrExpr,invalid attribute expression,
1,error,FE_InvalidString,invalid string,
1,error,FE_KeyCatalogNotLoaded,key catalog not loaded,
1,error,FE_KeyCatalogNotSpecified,key catalog not specified,
1,error,FE_LanguageNotAvailable,language not available,
1,error,FE_NoColorFamily,no color family,
1,error,FE_NotApiCommand,not api command,
1,error,FE_NotBodyPgf,not body paragraph,
1,error,FE_NotInMenu,not in menu,
1,error,FE_NotPgfOrFlow,not paragraph or flow,
1,error,FE_PropNotSet,property not set,
1,error,FE_ReservedColor,reserved color,
1,error,FE_StringTooLong,string too long,
1,error,FE_TintedColor,tinted color,
1,error,FE_UpdateDITAReferenceFailedCannotFindReferencedFile,update dita reference failed cannot find referenced file,
1,error,FE_UpdateDITAReferenceFailedCannotOpenReferencedFile,update dita reference failed cannot open referenced file,
1,error,FE_ViewOnly,view only,
1,error,FE_WantsCustom,wants custom,
1,error,FE_WantsLandscape,wants landscape,
1,error,FE_WantsPortrait,wants portrait,
1,error,FE_XRefUnresolved,x reference unresolved,
5,flag,FF_INTERACTIVE,interactive,
5,flag,FF_VISIBLE_ONLY,visible only,
4,flag,FF_DONT_DELETE_HIDDEN_TEXT,dont delete hidden text,
4,flag,FF_SELECT_WHOLE_TABLE,select whole table,
4,flag,FF_UFF_COLOR,uff color,
4,flag,FF_UFF_COMBINED_FONTS,uff combined fonts,
4,flag,FF_UFF_COND,uff condition,
4,flag,FF_UFF_DOCUMENT_PROPS,uff document properties,
4,flag,FF_UFF_FONT,uff font,
4,flag,FF_UFF_MATH,uff math,
4,flag,FF_UFF_PAGE,uff page,
4,flag,FF_UFF_PGF,uff paragraph,
4,flag,FF_UFF_REFPAGE,uff refpage,
4,flag,FF_UFF_REMOVE_EXCEPTIONS,uff remove exceptions,
4,flag,FF_UFF_REMOVE_PAGE_BREAKS,uff remove page breaks,
4,flag,FF_UFF_TABLE,uff table,
4,flag,FF_UFF_VAR,uff variable,
4,flag,FF_UFF_XREF,uff cross reference (XREF),
3,flag,FF_CLOSE_MODIFIED,close modified,
3,flag,FF_CMP_COMPKIT,cmp compkit,
3,flag,FF_CMP_HYPERLINKS,cmp hyperlinks,
3,flag,FF_CMP_SUMKIT,cmp sumkit,
3,flag,FF_CMP_SUMMARY_ONLY,cmp summary only,
3,flag,FF_CUT_TBL_CELLS,cut table cells,
3,flag,FF_DITAUpdateAllConrefs,dita update all conrefs,
3,flag,FF_DITAUpdateAllLinks,dita update all links,
3,flag,FF_DITAUpdateAllReferences,dita update all references,
3,flag,FF_DITAUpdateAllTopicrefs,dita update all topicrefs,
3,flag,FF_DITAUpdateAllTopicsetrefs,dita update all topic set references,
3,flag,FF_DITAUpdateAllXrefs,dita update all cross references,
3,flag,FF_IED_NO_NOTIFY,ied no notify,
3,flag,FF_IED_REMOVE_BOOK_INFO,ied remove book info,
3,flag,FF_IED_REMOVE_OVERRIDES,ied remove overrides,
3,flag,FF_INSERT_BELOW_RIGHT,insert below right,
3,flag,FF_REPLACE_CELLS,replace cells,
3,flag,FF_XRUI_CLOSED_DOCS,xrui closed docs,
3,flag,FF_XRUI_EVERYTHING,xrui everything,
3,flag,FF_XRUI_FORCE_UPDATE,xrui force update,
3,flag,FF_XRUI_INTERNAL,xrui internal,
3,flag,FF_XRUI_OPEN_DOCS,xrui open docs,
2,flag,FF_CMP_CHANGE_BARS,cmp change bars,
2,flag,FF_DONT_APPLY_ALL_ROWS,dont apply all rows,
2,flag,FF_DUPLICATE_KEY_DEFINITION,duplicate key definition,
2,flag,FF_FOUND_IN_REFERENCED_FILE,found in referenced file,
2,flag,FF_IED_DO_NOT_IMPORT_EDD,ied do not import edd,
2,flag,FF_INVALID_KEY,invalid key,
2,flag,FF_STRIP_HYPERTEXT,strip hypertext,
2,flag,FF_UNTAGGED_ASK,untagged ask,
2,flag,FF_UNTAGGED_DELETE,untagged delete,
2,flag,FF_UNTAGGED_UNCOND,untagged uncond,
1,flag,FF_ALERT_,alert,
1,flag,FF_ALERT_CANCEL_DEFAULT,alert cancel default,
1,flag,FF_ALERT_CONTINUE_NOTE,alert continue note,
1,flag,FF_ALERT_CONTINUE_WARN,alert continue warn,
1,flag,FF_ALERT_NO_DEFAULT,alert no default,
1,flag,FF_ALERT_OK_DEFAULT,alert ok default,
1,flag,FF_ALERT_YES_DEFAULT,alert yes default,
1,flag,FF_ALERT_YES_NO_CANCEL,alert yes no cancel,
1,flag,FF_ALT_KEY,alt key,
1,flag,FF_ATTACH_,attach,
1,flag,FF_ATTACH_ALL,attach all,
1,flag,FF_ATTACH_BORDER_PAGENUM,attach border pagenum,
1,flag,FF_ATTACH_BORDER_PAGEUPDOWN,attach border pageupdown,
1,flag,FF_ATTACH_BORDER_RIGHTICONS,attach border righticons,
1,flag,FF_ATTACH_BORDER_STATUS,attach border status,
1,flag,FF_ATTACH_BORDER_ZOOM,attach border zoom,
1,flag,FF_ATTRDISP,attrdisp,
1,flag,FF_ATTRDISP_ALL,attrdisp all,
1,flag,FF_ATTR_SEL,attribute selection,
1,flag,FF_BOR_EXT,bor ext,
1,flag,FF_BOR_SEL,bor selection,
1,flag,FF_BUBBLE_CONTEXT,bubble context,
1,flag,FF_BUBBLE_COPY,bubble copy,
1,flag,FF_BUBBLE_EXT,bubble ext,
1,flag,FF_BUBBLE_EXT_CONTEXT,bubble ext context,
1,flag,FF_BUBBLE_SEL,bubble selection,
1,flag,FF_CELLS_RES,cells resolution,
1,flag,FF_CELL_EXT,cell ext,
1,flag,FF_CELL_RES,cell resolution,
1,flag,FF_CELL_SEL,cell selection,
1,flag,FF_CLEAR_SEL,clear selection,
1,flag,FF_CMD_KEY,command key,
1,flag,FF_CMP_ATTRIBUTES,cmp attributes,
1,flag,FF_CMP_CHANGE,cmp change,
1,flag,FF_COLLAPSE_ALL,collapse all,
1,flag,FF_COLLAPSE_ELEM,collapse element,
1,flag,FF_CONTEXT_DRAG,context drag,
1,flag,FF_CONTEXT_DRAGTXT,context dragtxt,
1,flag,FF_CONTEXT_DRAG_EXT,context drag ext,
1,flag,FF_CONTEXT_MENU,context menu,
1,flag,FF_CONTROL_KEY,control key,
1,flag,FF_COPY_TO_CLIP,copy to clip,
1,flag,FF_Custom_,custom,
1,flag,FF_Custom_FirstPageLeft,custom first page left,
1,flag,FF_Custom_FirstPageRight,custom first page right,
1,flag,FF_Custom_SingleSided,custom single sided,
1,flag,FF_DUPLICATE_KEY,duplicate key,
1,flag,FF_EDIT_ATTRIBUTE,edit attribute,
1,flag,FF_ELEMENT_CONTEXT,element context,
1,flag,FF_ELEMENT_EXT,element ext,
1,flag,FF_ELEMENT_EXT_CONTEXT,element ext context,
1,flag,FF_ELEMENT_SEL,element selection,
1,flag,FF_FIND_BACKWARDS,find backwards,
1,flag,FF_FIND_CONSIDER_CASE,find consider case,
1,flag,FF_FIND_USE_REGEX,find use regex,
1,flag,FF_FIND_USE_WILDCARDS,find use wildcards,
1,flag,FF_FIND_WHOLE_WORD,find whole word,
1,flag,FF_HYPERTEXT,hypertext,
1,flag,FF_IED_DELETE_EMPTY_PAGES,ied delete empty pages,
1,flag,FF_IED_DO_NOT_IMPORT_STRUCTAPP,ied do not import structured application,
1,flag,FF_IED_DO_NOT_IMtopic,ied do not i mtopic,
1,flag,FF_IMAGE_BACKGROUND,image background,
1,flag,FF_IMAGE_CLIP,image clip,
1,flag,FF_IMAGE_MASTER,image master,
1,flag,FF_IMAGE_NOTRIM,image no trim,
1,flag,FF_IMAGE_PAGEFRAME,image pageframe,
1,flag,FF_ITEM,item,
1,flag,FF_OBJ_CROTATE,object crotate,
1,flag,FF_OBJ_EXT,object ext,
1,flag,FF_OBJ_EXT_BOR,object ext bor,
1,flag,FF_OBJ_Q_COPY,object q copy,
1,flag,FF_OBJ_ROTATE,object rotate,
1,flag,FF_OBJ_SEL,object selection,
1,flag,FF_OPEN_BOOK_COMP,open book comp,
1,flag,FF_PASTE_CLIP_OBJ,paste clip object,
1,flag,FF_PASTE_CLIP_TEXT,paste clip text,
1,flag,FF_PASTE_SEL_TEXT,paste selection text,
1,flag,FF_RES_ADD,resolution add,
1,flag,FF_RES_DEL,resolution delete,
1,flag,FF_RES_MOVE,resolution move,
1,flag,FF_RES_MOVE1,resolution move1,
1,flag,FF_RES_VERTEX,resolution vertex,
1,flag,FF_SHIFT_KEY,shift key,
1,flag,FF_STRUCTURE_MENU,structure menu,
1,flag,FF_TABLE_SELALL,table selall,
1,flag,FF_TEXT_EXT,text ext,
1,flag,FF_TEXT_Q_COPY,text q copy,
1,flag,FF_TEXT_SEL,text selection,
1,flag,FF_UFF_,uff,
1,flag,FF_UFF_ALL,uff all,
1,flag,FF_UFF_FBA,uff fba,
1,flag,FF_VIEWER_MENU,viewer menu,
1,flag,FF_XRUI_,xrui,
2,function,F_ApiGetInt,get integer,
1,function,F_ApiCommand,command,
1,function,F_ApiGetId,get id,
1,function,F_ApiGetNamedMenu,get named menu,
1,function,F_ApiManageCondiitonalExpressions,manage condiitonal expressions,
1,function,F_ApiNotification,notification,
1,function,F_ApiNotify,notify,
1,function,F_ApiSetInt,set integer,
1,function,F_ApiSplitElement,split element,
155,identifier,ObjectValid,object valid,
113,identifier,GetProps,get properties,
